"Name","NumCpu","MemoryMB","UsedSpaceGB","HostName","OS"
"LWEBATK002","8","16384","45.652072809636592864990234375","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK005","8","16384","55.005935026332736015319824219","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBITK001","8","16384","46.234863572753965854644775391","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK003","8","16384","45.454369528219103813171386719","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBLUK001","8","16384","45.623315013945102691650390625","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK020","8","16384","54.997968371026217937469482422","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOOPK001","1","3072","12.300897080451250076293945312","mesxc04k114.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBABK002","8","16384","45.720676152035593986511230469","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK017","8","16384","55.013601404614746570587158203","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBROK001","8","16384","45.500599336810410022735595703","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK003","8","16384","54.502504026517271995544433594","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBITK002","8","16384","46.178716533817350864410400391","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBNLK001","8","16384","45.63558404147624969482421875","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBATK001","8","16384","46.092632504180073738098144531","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK002","8","16384","45.485640628263354301452636719","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBABK001","8","16384","45.787542037665843963623046875","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LTEROPK001","4","16384","34.487497445195913314819335938","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK006","8","16384","45.418402064591646194458007812","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK013","8","16384","52.488678609021008014678955078","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBESK002","8","16384","45.700694857165217399597167969","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK001","8","16384","45.574611327610909938812255859","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK022","8","16384","54.661058973520994186401367188","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOASK001","1","4096","14.332682752050459384918212891","mesxc04k116.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBLDK002","8","16384","45.639557949267327785491943359","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNSCK001","2","4096","33.286472838371992111206054688","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK007","8","16384","55.049211314879357814788818359","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK015","8","16384","55.417159375734627246856689453","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBBEK001","8","16384","45.749172399751842021942138672","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LTEROPK002","4","16384","67.665122935548424720764160156","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOLIK001","1","4096","14.909756181761622428894042969","mesxc04k117.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LWEBABK003","8","16384","45.504757709801197052001953125","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFRK001","8","16384","45.653816472738981246948242188","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBNLK002","8","16384","45.666260277852416038513183594","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK004","8","16384","45.514705023728311061859130859","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK010","8","16384","55.056815870106220245361328125","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBSEK001","8","16384","45.590258791111409664154052734","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPLK001","8","16384","45.866374019533395767211914062","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBROK004","8","16384","45.035093927755951881408691406","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBFAK005","8","16384","45.475614525377750396728515625","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
