Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-02-28 16:18:36 +0100,40,11.0,11.0,11.0,11.0,17.0,11.43,1.38,40,13.0,14.0,15.0,19.25,30.0,17.75,4.86,40,16.0,24.5,26.0,31.0,39.0,26.48,5.01
2014-02-28 16:23:37 +0100,40,11.0,11.0,11.0,11.0,19.0,11.48,1.75,40,13.0,15.0,18.0,24.0,32.0,20.23,5.6,40,16.0,23.75,26.5,31.0,51.01,28.3,7.72
2014-02-28 16:48:42 +0100,40,11.0,11.0,11.0,12.0,17.0,11.78,1.44,40,14.0,16.75,23.0,25.25,37.0,21.83,5.52,40,16.0,25.0,26.0,30.5,49.01,27.73,7.33
2014-02-28 17:18:45 +0100,40,11.0,11.0,11.0,12.0,13.0,11.45,0.76,40,13.0,14.0,18.0,23.0,31.0,18.9,4.92,40,15.0,25.75,26.5,35.0,55.01,29.48,7.57
2014-02-28 17:48:47 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,14.0,16.0,18.0,24.0,34.0,20.2,5.53,40,24.0,27.75,34.0,38.0,45.01,33.2,5.69
2014-02-28 18:18:31 +0100,40,11.0,11.0,11.0,11.25,13.0,11.28,0.73,40,14.0,15.75,18.0,24.0,37.0,20.4,5.6,40,16.0,17.75,20.0,26.0,49.01,23.08,7.4
2014-02-28 18:48:31 +0100,40,11.0,11.0,11.0,11.0,12.0,11.23,0.68,40,14.0,16.75,23.0,25.25,36.0,21.88,6.12,40,18.0,26.0,28.5,32.25,46.01,30.18,5.78
2014-02-28 19:18:49 +0100,40,8.0,11.0,11.0,12.0,21.0,11.6,1.68,40,13.0,15.0,18.0,23.25,43.0,20.13,6.41,40,16.0,17.0,23.0,30.0,37.0,23.45,6.51
2014-02-28 19:48:48 +0100,40,8.0,11.0,11.0,11.0,12.0,11.05,0.57,40,14.0,14.75,17.0,19.25,25.0,17.38,3.36,40,16.0,24.75,27.0,31.25,43.01,27.65,6.75
2014-02-28 20:18:46 +0100,40,11.0,11.0,12.0,12.0,24.0,12.45,2.97,40,14.0,23.0,24.5,32.25,39.0,26.4,6.37,40,17.0,26.0,28.5,33.25,42.0,29.85,5.68
2014-02-28 20:48:45 +0100,40,10.0,11.0,11.5,12.0,20.0,11.88,1.64,40,13.0,14.0,23.0,27.0,36.0,21.63,6.37,40,16.0,25.0,27.5,33.0,41.0,28.4,6.47
2014-02-28 21:18:45 +0100,40,11.0,11.0,11.0,12.0,13.0,11.43,0.79,40,14.0,14.0,17.0,20.25,32.0,18.55,5.27,40,16.0,26.0,31.5,36.0,54.01,30.55,8.96
2014-02-28 21:48:45 +0100,40,11.0,11.0,11.0,11.0,14.0,11.15,0.75,40,13.0,20.5,25.0,28.0,41.0,25.2,5.75,40,19.0,27.0,31.0,35.0,45.01,31.55,5.79
2014-02-28 22:18:42 +0100,40,8.0,11.0,11.0,12.0,20.0,11.48,1.52,40,14.0,14.75,18.0,21.25,31.0,18.68,4.1,40,16.0,23.75,26.5,30.5,45.0,27.25,7.11
2014-02-28 22:48:40 +0100,40,11.0,11.0,11.0,11.0,13.0,11.23,0.71,40,13.0,16.0,21.0,24.25,39.0,21.43,5.78,40,25.0,30.0,33.0,37.0,47.01,33.6,5.73
2014-02-28 23:18:41 +0100,40,11.0,11.0,11.0,12.0,18.0,11.55,1.29,40,13.0,14.0,15.0,18.0,25.0,16.6,3.6,40,16.0,17.0,23.0,29.25,1217.12,82.81,262.61
2014-02-28 23:48:39 +0100,40,11.0,11.0,11.0,12.0,19.0,11.7,1.83,40,13.0,14.0,15.0,18.5,33.0,17.25,4.43,40,16.0,17.0,22.5,28.25,44.01,22.9,6.71
2014-03-01 00:48:50 +0100,40,11.0,11.0,11.0,11.0,14.0,11.28,0.89,40,14.0,17.0,18.0,23.25,30.0,20.2,5.09,40,16.0,23.0,28.0,31.0,40.0,27.6,6.27
2014-03-01 01:29:43 +0100,40,8.0,11.0,11.0,12.0,30.0,12.0,3.46,40,14.0,19.75,23.5,26.25,36.0,23.53,5.32,40,25.0,31.75,35.0,39.0,50.01,35.48,5.71
2014-03-01 01:48:37 +0100,40,11.0,11.0,11.0,11.0,16.0,11.28,1.0,40,14.0,15.0,20.5,24.0,34.0,20.68,5.42,40,16.0,22.0,22.0,29.0,38.0,23.83,5.2
2014-03-01 02:18:30 +0100,40,11.0,11.0,11.0,11.0,12.0,11.1,0.61,40,13.0,17.0,19.5,26.5,51.01,23.6,10.04,40,16.0,18.5,22.0,29.0,40.0,23.6,5.99
2014-03-01 02:48:59 +0100,40,11.0,11.0,11.0,11.0,18.0,11.45,1.54,40,13.0,14.0,17.0,19.25,26.0,17.08,3.02,40,16.0,17.75,23.5,29.0,33.0,23.7,5.19
2014-03-01 03:18:34 +0100,40,8.0,11.0,11.0,11.0,13.0,11.0,0.58,40,13.0,16.0,17.0,23.0,32.0,18.75,4.34,40,20.0,22.0,23.0,30.0,49.01,26.15,6.07
2014-03-01 03:48:53 +0100,40,8.0,11.0,11.0,11.25,19.0,11.38,1.4,40,13.0,14.0,17.0,24.0,37.0,19.15,5.44,40,16.0,22.0,22.0,24.25,39.0,23.83,4.13
2014-03-01 04:18:39 +0100,40,11.0,11.0,11.0,11.0,12.0,11.08,0.59,40,13.0,15.75,20.0,26.5,48.01,23.18,9.35,40,16.0,26.0,31.0,35.0,47.01,30.6,6.26
2014-03-01 04:48:32 +0100,40,11.0,11.0,11.0,11.0,12.0,11.05,0.58,40,13.0,14.0,14.5,20.0,26.0,16.8,3.91,40,16.0,17.75,22.0,28.0,42.0,23.05,6.43
2014-03-01 05:18:54 +0100,40,11.0,11.0,11.0,11.25,19.0,12.1,2.4,40,14.0,14.0,17.0,20.0,33.0,18.33,4.57,40,15.0,26.75,31.0,34.0,41.0,30.58,6.04
2014-03-01 05:48:53 +0100,40,11.0,11.0,11.0,12.0,19.0,11.6,1.74,40,14.0,14.0,17.0,20.0,25.0,17.53,3.68,40,16.0,22.0,22.0,24.25,31.0,22.88,4.25
2014-03-01 06:18:34 +0100,40,11.0,11.0,11.0,11.0,19.0,11.45,1.74,40,11.0,14.0,17.0,20.25,25.0,17.53,3.5,40,16.0,22.0,22.0,25.0,39.0,23.55,5.26
2014-03-01 06:48:30 +0100,40,11.02,11.02,11.02,11.02,13.02,11.17,0.68,40,14.02,14.77,17.03,20.03,43.06,19.78,7.9,40,16.02,22.02,22.03,25.02,36.05,23.71,4.17
2014-03-01 07:18:45 +0100,40,11.0,11.0,11.0,11.0,13.0,11.25,0.79,40,13.0,17.0,19.5,24.0,37.0,20.83,5.45,40,16.0,22.0,23.0,30.25,39.0,25.35,5.57
2014-03-01 07:48:39 +0100,40,11.0,11.0,11.0,11.0,13.0,11.15,0.68,40,12.0,14.0,17.0,18.0,30.0,17.53,4.16,40,16.0,21.75,22.0,29.0,54.01,24.53,7.4
2014-03-01 08:18:35 +0100,40,11.0,11.0,11.0,11.0,18.0,11.28,1.25,40,14.0,17.0,18.0,23.25,39.0,21.03,6.08,40,16.0,17.0,23.0,27.25,44.0,23.3,6.15
