Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-03-01 06:18:42 +0100,40,11.0,11.0,11.0,11.0,12.0,11.05,0.58,40,13.0,17.0,20.5,25.0,34.0,20.7,5.1,40,17.0,22.0,23.0,25.5,40.0,24.45,4.16
2014-03-01 06:48:38 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,13.0,16.5,17.0,18.0,28.0,17.53,3.28,40,16.0,20.5,22.0,29.0,41.0,24.45,6.7
2014-03-01 07:18:53 +0100,40,11.0,11.0,11.0,11.0,12.0,11.08,0.59,40,13.0,17.75,19.5,24.5,46.01,22.0,6.58,40,17.0,23.75,28.0,32.25,47.01,28.9,6.83
2014-03-01 07:48:47 +0100,40,1.0,11.0,11.0,11.0,13.0,10.93,0.58,40,13.0,17.0,17.0,18.5,25.0,17.88,3.07,40,16.0,22.0,22.0,29.0,38.0,23.78,4.73
2014-03-01 08:18:44 +0100,40,1.0,11.0,11.0,11.0,12.0,10.78,0.34,40,14.0,14.0,17.0,18.0,31.0,17.48,3.78,40,16.0,22.0,22.0,24.25,31.0,23.5,3.8
2014-03-01 08:48:37 +0100,40,2.0,11.0,11.0,11.0,12.0,10.85,0.69,40,14.0,14.0,17.0,19.0,25.0,17.85,3.65,40,16.0,20.0,22.5,26.0,39.0,23.8,5.63
2014-03-01 09:18:53 +0100,40,11.0,11.0,11.0,11.0,13.0,11.15,0.68,40,13.0,14.0,17.0,21.0,36.0,18.65,5.91,40,16.0,19.75,23.0,30.0,39.0,25.08,6.56
2014-03-01 09:48:48 +0100,40,11.0,11.0,11.0,11.0,13.0,11.18,0.73,40,12.0,15.0,18.5,23.0,34.0,19.7,5.61,40,16.0,22.0,25.5,30.0,39.0,26.35,5.46
2014-03-01 10:18:42 +0100,40,11.0,11.0,11.0,11.0,13.0,11.18,0.69,40,14.0,17.0,18.0,22.5,35.0,20.15,4.46,40,16.0,26.0,31.0,34.25,44.0,29.95,7.0
2014-03-01 10:48:41 +0100,40,11.0,11.0,11.0,11.0,12.0,11.1,0.61,40,14.0,18.0,21.0,24.0,38.0,21.2,5.61,40,16.0,23.0,27.0,31.0,46.0,26.9,6.36
